phrase,is_feature
our personalized recommendation system,1
your content,1
see content,1
24 hours,1
customize profile,1
create groups,1
share location,1
your favorite celebrities,1
new content,1
your followers,1
your profile,1
set privacy,1
discover content,1
your location,1
post stories,1
follow celebrities,1
specific interests,1
private messaging,1
share photos,1
our social networking app,1
social networking,0
themes backgrounds,0
photos videos,0
manage content,0
family social,0
groups specific,0
updates followers,0
discover new,0
content personalized,0
location friends,0
interests events,0
friends private,0
brands influencers,0
celebrities brands,0
your tasks,1
your productivity,1
our task management app,1
find tasks,1
set reminders,1
to-do lists,1
get summaries,1
your progress,1
daily and weekly summaries,1
sharing tasks,1
track progress,1
set priorities,1
calendar apps,1
create lists,1
all your devices,1
organize tasks,1
specific tasks,1
use tags,1
sync tasks,1
boost productivity,1
visual charts,1
better scheduling,1
your accomplishments,1
productivity task,0
tasks projects,0
projects categories,0
lists set,0
collaborate teammates,0
task management,0
apps better,0
reminders deadlines,0
daily weekly,0
charts statistics,0
integrate calendar,0
priorities tasks,0
summaries accomplishments,0
stay schedule,0
multiple profiles,1
browse content,1
create watchlists,1
save data,1
enjoy streaming,1
unlimited streaming,1
access exclusive original content,1
receive recommendations,1
get notifications,1
new episodes,1
download content,1
tv shows,1
the go,1
review movies,1
playback quality,1
set profiles,1
any device,1
personalized recommendations,1
different family members,1
your favorite shows,1
our platform,1
streaming movies,0
watchlists receive,0
rate review,0
exclusive original,0
offline viewing,0
actors directors,0
favorite shows,0
content available,0
quality save,0
watching left,0
shows watched,0
